,temperature,temperature_denoised,humidity,humidity_denoised
count,96.0,96.0,96.0,96.0
mean,23.061218343467885,23.053339987112206,64.72103245802289,64.73220283290678
std,1.6411299500942724,1.489343264150136,7.295641487578451,7.0277493368050195
min,19.62892713229943,20.404180885954894,50.83512062837272,52.82944924910597
25%,21.73605773286193,21.76975730954292,59.81323903225396,61.54402286395126
50%,23.04718760042152,23.09823785356283,64.79359016295021,64.85519692255595
75%,24.255993316762975,24.24493102546378,69.30453857982829,68.44234476716409
max,26.68511903545878,25.761001813458574,79.82365948890583,77.62359675289842
